data,id_point,class,colour,cond_microscm,oxig_mgl,ph,temp_wa_c,temp_air_c,co_total_mgl,dbo _mgl,fósf_total_mgl,nitro_kje_mgl,nitro_amo_mgl,sdiss_total_mgl,solido_total_mgl,turb,clor_a_microgl,Caracteristicas,Complemento,Type
12/11/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,196,9.47,8.42,23.88,25,5.22,6,0.1,1.31,0.12,106,120,8.87,86.61,,,
9/12/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,197,7.08,7.38,23.48,24.4,5.91,<3,0.1,<0.5,0.14,142,142,3.98,29.4,,,
1/14/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,198,3.36,7.23,24.9,22.7,6.71,4,0.11,,<0.1,110,110,13,56.13,,,
2/17/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,186,7.48,8.09,26.6,26,10.7,4,0.12,,0.17,120,120,48.3,58.81,,,
3/31/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,168,9.94,9.03,27.19,28.5,7.26,10,0.12,,0.17,<100,<100,33.8,102.47,,,
4/14/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,172,8.68,8.56,27.49,28,11.3,4,0.09,,<0.1,114,114,31.3,45.82,,,
5/31/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,180,5.22,7.02,20.3,,5.62,4,0.06,,<0.1,104,104,11.9,32.67,,,
6/15/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,174,8.56,7.51,19.92,20.3,4.85,<3,0.08,,<0.1,<100,<100,20.5,45.98,,,
6/7/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,184,2.01,6.87,17.99,20.7,4.52,<3,0.08,,<0.1,106,110,5.82,16.04,,,
10/8/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,174,9.68,8.35,17.87,16.2,8.91,<3,0.08,,<0.1,<100,<100,27,76.98,,,
9/22/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,175,9.22,8.46,20.01,19,43.7,<3,0.1,,0.25,112,140,46.9,92.66,,,
10/27/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,181,7.78,8.05,22.75,22.5,13.6,3,0.21,,0.25,106,134,53.3,86.43,,,
11/17/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,175,9.01,8.85,26.34,25.9,16.3,8,0.14,,<0.1,104,144,68,99.79,,,
7/12/2016,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,176.2,9.72,9.05,25.93,29.8,15,5,0.1,,<0.1,<100,114,40.8,105.58,,,
12/1/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,190,8.07,8.63,26.19,22.2,5.89,4,<0.01,,<0.1,224,242,34.2,99.57,,,
2/23/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,171,10.05,9.53,28.09,26.8,5.07,5,0.08,,<0.1,102,112,9.98,36.35,,,
3/22/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,173,5.95,7.3,25.16,26,4.67,4,0.08,,<0.1,<100,102,15.7,37.76,,,
11/4/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,168,8.96,8.55,24.75,24.6,6.37,4,0.08,,<0.1,100,104,9.46,55.24,,,
10/5/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,181,7.12,7.33,21.45,19.8,4.69,<3,0.07,,<0.1,104,106,8.6,40.43,,,
5/7/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,175,7.49,7.33,18.47,18.4,4.54,<3,0.08,,<0.1,112,120,9.36,32.67,,,
9/8/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,180,8.68,7.55,18.57,23.3,5.37,<3,0.09,,<0.1,132,138,22.9,55.6,,,
9/28/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,173,10.24,9.16,23.3,22.6,8.21,5,0.12,,<0.1,118,140,32.3,86.87,,,
10/18/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,164,8.46,8.59,23.6,24.6,6.1,6,0.08,,<0.1,106,120,19,48.11,,,
11/16/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,167,10.55,9.42,23.8,25.3,8.45,7,0.08,,<0.1,<100,114,34,104.25,,,
12/14/2017,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,171,7.81,8.29,25.6,26.5,7.09,6,0.06,,<0.1,110,110,18,54.53,,,
11/1/2018,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,170,9.71,9.03,25.4,28,7.83,10,0.07,,<0.1,<100,<100,31,111.38,,,
3/21/2018,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,185,11.44,9.31,27,23,7.79,6,0.11,,<0.5,122,142,24,,,,
5/22/2018,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,171,6.86,7.3,21.7,20.5,4.53,7,0.04,,<0.1,<100,<100,3.2,23.29,,,
7/26/2018,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,172,8.31,8.31,19.9,18,14.5,39,0.48,,<0.1,112,122,9.3,39.31,,,
9/27/2018,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,193,11.23,9.22,22.6,23,9.7,7,0.16,,<0.1,106,146,,,,,
11/28/2018,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,182,8.93,8.61,22.4,21,6.9,4,0.07,,<0.1,<100,126,27,94.09,,,
1/22/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,191,8.97,9.64,28.8,29.2,5.31,<3,0.03,,<0.1,110,124,6.78,16.04,,,
3/26/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,162,10.81,8.9,26.8,25.6,6.78,6,0.1,,<0.1,<100,102,15.5,,,,
5/25/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,159,7.22,7.11,23.2,25.9,5.94,<3,0.07,0.58,<0.05,106,112,4.71,39.83,,,
7/25/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,158,9.52,7.89,20,18.6,5.81,4,0.09,1.14,<0.1,<100,<100,9.32,50.12,,,
2/10/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,167,15.78,9.72,27.3,24.2,15.2,17,0.61,6.66,<0.1,114,250,180,,,,
4/12/2019,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,154,8.62,8.2,24.5,24.3,5.62,3.1,0.04,0.99,<0.1,108,108,12.6,40.99,,,
3/1/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,194,3.05,7.36,25.08,19,7.55,9,0.124,2.39,0.4,112,118,18.6,101.04,,,
